project,year,lender,debt_amount_usd,country,investment_sector
"Five Roads in Luanda Province Rehabilitation: Patriota-Talatona, Rua da Brigada, Rua D no Benfica, Rua Soba Mandume e Ramal de Bom Jesus",2016,CDB,31000000,Angola,Transportation
"Gabela/Quilenda, Cuanza-Sul, EN110 Road Rehabilitation, 35km",2016,CDB,18000000,Angola,Transportation
"Cuito, Bie, Road Rehabilitation, 15km",2016,CDB,29000000,Angola,Transportation
"Malanje, Mussolo-Dumba Cabango Road Rehabilitation, 43km",2016,CDB,25000000,Angola,Transportation
"Uige, Uige-Calumbo-Dambi-Negage Road Rehabilitation, 37.5km",2016,CDB,50000000,Angola,Transportation
"Huambo, Catchiungo-Chinhama Road Rehabilitation, 65km",2016,CDB,8000000,Angola,Transportation
"Uige, Quitexe-Ambuíla Road Rehabilitation",2016,CDB,10000000,Angola,Transportation
"Cuanza Norte, Alto Dondo-Capanda Road Rehabilitation, São Pedro da Quilemba - Alto Dondo, 48 km",2016,CDB,29000000,Angola,Transportation
"Malanje, Caculama (Mucari)- Tala Mungongo Road",2016,CDB,27000000,Angola,Transportation
"Rehabilitation of the Cabolongo-Cacuaco Expressway, Connection to the Camama Road with Access to Zango and Central Kilamba",2016,CDB,189000000,Angola,Transportation
"Rehabilitation of EN230, with Connection to the Unidade Operativa Overpass, and Improvements of the Luanda-Viana VIA Expressway",2016,CDB,156000000,Angola,Transportation
Rehabilitationof EN230 between Viana and the New Luanda/Catete International Airport,2016,CDB,245000000,Angola,Transportation
"Cruzamento-Cassongue Road Rehabilitation, 37m",2016,CDB,27000000,Angola,Transportation
"3 Training Centers and Equipment for Angolan Railway Companies in Luanda (CFL), Benguela (CFB) and Moçâmedes",2016,CHEXIM,39000000,Angola,Transportation
Namibe Province Urban Roads - Mocamedes Rehabilitation,2017,CDB,19000000,Angola,Transportation
"Railway Connection for the New Luanda International Airport to Luanda City, 17.4km",2017,BoC,150000000,Angola,Transportation
